33.8	10.2
34	10.8
34.2	11.4
34.4	12
34.6	12.6
34.8	13.2
35	13.8
35.2	14.4
35.4	15
35.6	15.6
35.8	16.2
36	16.8
36.2	17.4
36.4	18
36.6	18.6
36.8	19.2
37	19.8
37.2	20.4
37.4	21
37.6	21.6
37.8	22.2
38	22.8
38.2	23.4
38.4	24
38.6	24.6
38.8	25.2
39	25.8
39.2	26.4
39.4	27
39.6	27.6
39.8	28.2
40	28.8
40.2	29.4
